timestamp,level,unit,message
2025-12-14T02:21:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=28969 DF PROTO=UDP SPT=50450 DPT=15600 LEN=43 
2025-12-14T02:21:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=30465 DF PROTO=UDP SPT=49840 DPT=15600 LEN=43 
2025-12-14T02:22:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=33653 DF PROTO=UDP SPT=56009 DPT=15600 LEN=43 
2025-12-14T02:22:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=37378 DF PROTO=UDP SPT=53256 DPT=15600 LEN=43 
2025-12-14T02:22:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=41054 DF PROTO=UDP SPT=42242 DPT=15600 LEN=43 
2025-12-14T02:23:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=44419 DF PROTO=UDP SPT=48025 DPT=15600 LEN=43 
2025-12-14T02:23:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=47530 DF PROTO=UDP SPT=51947 DPT=15600 LEN=43 
2025-12-14T02:23:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=50108 DF PROTO=UDP SPT=40813 DPT=15600 LEN=43 
2025-12-14T02:24:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=52483 DF PROTO=UDP SPT=51766 DPT=15600 LEN=43 
2025-12-14T02:24:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=54997 DF PROTO=UDP SPT=47127 DPT=15600 LEN=43 
